Company,TypeName,Ram,Memory,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,Cpu brand,HDD,SSD,Hybrib,Flash_Storage
Dell,Notebook,8,256 SSD,AMD Radeon R5 M430,Windows 10,2.2,39693.6,0,0,141.21199808219862,Intel Core i7,0,256,0,0
Apple,Ultrabook,16,512 SSD,AMD Radeon Pro 560,macOS,1.83,152274.24,0,1,220.53462386625827,Intel Core i7,0,512,0,0
Lenovo,Notebook,8,1000 HDD,Nvidia GeForce 940MX,No OS,2.2,26586.72,0,0,141.21199808219862,Intel Core i3,1000,0,0,0
Dell,Ultrabook,8,128 SSD,Intel UHD Graphics 620,Windows 10,1.22,52161.12,1,1,165.6321180513006,Intel Core i5,0,128,0,0
Lenovo,Gaming,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,53226.72,0,1,141.21199808219862,Intel Core i5,1000,128,0,0
HP,Notebook,4,500 HDD,AMD Radeon R2,No OS,1.86,13746.24,0,0,100.45466986113651,AMD Processor,500,0,0,0
Dell,2 in 1 Convertible,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.62,43636.32,1,0,165.6321180513006,Intel Core i5,0,256,0,0
HP,Ultrabook,8,256 SSD,Intel HD Graphics 620,Windows 10,1.91,35111.52,0,0,141.21199808219862,Intel Core i7,0,256,0,0
Dell,Notebook,4,1000 HDD,Intel HD Graphics 520,Windows 10,2.3,22305.1392,0,0,100.45466986113651,Intel Core i3,1000,0,0,0
Apple,Ultrabook,8,128 Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,58554.72,0,0,127.67794013309688,Intel Core i5,0,0,0,128
Dell,Notebook,8,256 SSD,AMD Radeon 530,Windows 10,2.2,42624.0,0,0,141.21199808219862,Intel Core i5,0,256,0,0
Dell,Ultrabook,8,256 SSD +  256 SSD,Intel UHD Graphics 620,Windows 10,1.88,69157.44,0,0,141.21199808219862,Intel Core i7,0,512,0,0
HP,Notebook,8,1000 HDD,Nvidia GeForce 930MX,Windows 10,2.5,47738.88,0,0,127.33567457123111,Intel Core i5,1000,0,0,0
Chuwi,Notebook,4,64 Flash Storage,Intel HD Graphics,Windows 10,1.89,13053.0672,0,0,141.21199808219862,Other Intel Processor,0,0,0,64
Asus,Notebook,2,32 Flash Storage,AMD Radeon R2,Windows 10,1.65,10602.72,0,0,111.93520355955211,AMD Processor,0,0,0,32
HP,Notebook,4,500 HDD,AMD Radeon 530,Windows 10,2.71,23389.92,0,0,127.33567457123111,AMD Processor,500,0,0,0
Dell,Ultrabook,16,512 SSD,Intel UHD Graphics 620,Windows 10,1.2,99580.32,1,0,276.053530085501,Intel Core i7,0,512,0,0
Apple,Ultrabook,8,256 Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,53173.44,0,0,127.67794013309688,Intel Core i5,0,0,0,256
Lenovo,Notebook,4,64 Flash Storage,Intel HD Graphics 500,Windows 10,1.44,13266.72,0,0,111.93520355955211,Other Intel Processor,0,0,0,64
Acer,Notebook,4,1000 HDD,Intel HD Graphics 620,Linux,2.1,19553.76,0,0,100.45466986113651,Intel Core i3,1000,0,0,0
Dell,Notebook,8,128 SSD +  1000 HDD,AMD Radeon 530,Windows 10,2.8,52161.12,0,1,127.33567457123111,Intel Core i5,1000,128,0,0
HP,Notebook,4,1000 HDD,Intel HD Graphics 620,Windows 10,1.86,26037.4032,0,0,100.45466986113651,Intel Core i5,1000,0,0,0
HP,Notebook,8,256 SSD,Nvidia GeForce 930MX ,Windows 10,2.1,46833.12,0,0,141.21199808219862,Intel Core i5,0,256,0,0
Asus,Notebook,4,1000 HDD,Intel HD Graphics 620,Linux,2.0,20725.92,0,0,141.21199808219862,Intel Core i3,1000,0,0,0
Dell,Gaming,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,79866.72,0,1,141.21199808219862,Intel Core i7,1000,256,0,0
Asus,Notebook,8,1000 HDD,Nvidia GeForce 940MX,Linux,2.3,27864.9072,0,0,100.45466986113651,Intel Core i5,1000,0,0,0
Acer,Notebook,4,256 SSD,Intel UHD Graphics 620,Windows 10,2.2,36336.96,0,1,141.21199808219862,Intel Core i5,0,256,0,0
Dell,2 in 1 Convertible,12,1000 HDD,Nvidia GeForce 150MX,Windows 10,2.77,53226.72,1,0,127.33567457123111,Intel Core i5,1000,0,0,0
Apple,Ultrabook,8,256 SSD,Intel Iris Graphics 540,macOS,1.37,75604.32,0,1,226.98300468106115,Intel Core i5,0,256,0,0
Asus,Gaming,8,256 SSD +  1000 HDD,AMD Radeon RX 580,Windows 10,3.2,69210.72,0,0,127.33567457123111,AMD Processor,1000,256,0,0
Dell,Notebook,4,256 SSD,AMD Radeon R5 M430,Windows 10,2.3,34045.92,0,0,141.21199808219862,Intel Core i5,0,256,0,0
Asus,Notebook,4,1000 HDD,Nvidia GeForce 920MX,Windows 10,2.8,24828.48,0,0,90.58340172449303,Other Intel Processor,1000,0,0,0
Acer,Notebook,8,256 SSD,Nvidia GeForce MX150,Windows 10,2.2,44808.48,0,1,141.21199808219862,Intel Core i7,0,256,0,0
HP,Notebook,4,256 SSD,AMD Radeon R4 Graphics,Windows 10,1.86,21231.5472,0,0,141.21199808219862,AMD Processor,0,256,0,0
HP,Notebook,8,512 SSD,Intel UHD Graphics 620,Windows 10,1.49,58767.84,0,0,165.6321180513006,Intel Core i7,0,512,0,0
Acer,Notebook,4,1000 HDD,Intel HD Graphics 620,Windows 10,2.4,20459.52,0,0,100.45466986113651,Intel Core i3,1000,0,0,0
Dell,Notebook,8,256 SSD,AMD Radeon 520,Windows 10,2.13,40908.384,0,0,141.21199808219862,Intel Core i7,0,256,0,0
HP,Notebook,4,128 SSD,Intel HD Graphics 520,Windows 10,1.91,23389.92,0,0,141.21199808219862,Intel Core i3,0,128,0,0
Asus,Notebook,4,256 SSD,Intel HD Graphics 620,Windows 10,2.0,31232.2032,0,0,100.45466986113651,Intel Core i5,0,256,0,0
MSI,Gaming,16,256 SSD +  2000 HDD,Nvidia GeForce GTX 1070,Windows 10,2.43,130482.72,0,0,127.33567457123111,Intel Core i7,2000,256,0,0
Asus,Notebook,4,256 SSD,Intel HD Graphics 520,Linux,2.0,22111.2,0,0,141.21199808219862,Intel Core i3,0,256,0,0
Dell,Notebook,16,256 SSD +  2000 HDD,AMD Radeon 530,Windows 10,2.8,69210.72,0,0,127.33567457123111,Intel Core i7,2000,256,0,0
Dell,Ultrabook,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.7,46833.12,0,0,157.3505121487356,Intel Core i5,0,256,0,0
Lenovo,Notebook,8,256 SSD,Intel HD Graphics 620,No OS,1.7,31914.72,0,1,157.3505121487356,Intel Core i3,0,256,0,0
Asus,Notebook,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.4,50136.48,0,0,157.3505121487356,Intel Core i5,0,256,0,0
HP,Notebook,8,256 SSD,Intel HD Graphics 620,Windows 10,1.86,36763.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0
Asus,Ultrabook,16,512 SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,105654.24,0,0,141.21199808219862,Intel Core i7,0,512,0,0
HP,Notebook,4,500 HDD,AMD Radeon 520,Windows 10,1.86,23373.4032,0,0,100.45466986113651,Intel Core i3,500,0,0,0
HP,Notebook,4,32 SSD,Intel HD Graphics 400,Windows 10,1.44,12201.12,0,0,111.93520355955211,Other Intel Processor,0,32,0,0
Lenovo,Notebook,4,1000 HDD,Intel HD Graphics 620,Windows 10,1.9,29250.72,0,0,141.21199808219862,Intel Core i5,1000,0,0,0
Asus,Gaming,12,1000 HDD,Nvidia GeForce GTX 1050 Ti,Linux,3.0,50562.72,0,0,127.33567457123111,Intel Core i7,1000,0,0,0
Microsoft,Ultrabook,4,128 SSD,Intel HD Graphics 620,Windows 10 S,1.252,58021.92,1,0,200.84255993695703,Intel Core i5,0,128,0,0
Dell,Ultrabook,64,256 SSD,AMD Radeon 530,Windows 10,1.4,50882.4,0,1,165.6321180513006,Intel Core i7,0,256,0,0
Dell,Notebook,8,256 SSD,AMD Radeon 530,Windows 10,2.2,46353.6,0,0,141.21199808219862,Intel Core i7,0,256,0,0
MSI,Gaming,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.7,58341.6,0,0,127.33567457123111,Intel Core i5,1000,128,0,0
Acer,Notebook,8,1000 HDD,Intel HD Graphics 520,Windows 10,2.1,20725.92,0,0,111.93520355955211,Intel Core i3,1000,0,0,0
Asus,Gaming,8,1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,50562.72,0,0,141.21199808219862,Intel Core i7,1000,0,0,0
Lenovo,Notebook,8,2000 HDD,Intel HD Graphics 620,No OS,2.2,27652.32,0,0,141.21199808219862,Intel Core i5,2000,0,0,0
Dell,Notebook,8,128 SSD +  1000 HDD,Intel UHD Graphics 620,Windows 10,2.02,45554.4,0,0,141.21199808219862,Intel Core i7,1000,128,0,0
Acer,Notebook,4,1000 HDD,Nvidia GeForce MX130,Windows 10,2.2,28238.4,0,0,141.21199808219862,Intel Core i3,1000,0,0,0
HP,Notebook,8,128 SSD +  1000 HDD,Nvidia GeForce 930MX,Windows 10,2.5,52054.56,0,0,127.33567457123111,Intel Core i5,1000,128,0,0
Dell,Ultrabook,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.88,58403.4048,0,1,141.21199808219862,Intel Core i5,0,256,0,0
Apple,Ultrabook,8,512 SSD,Intel HD Graphics 615,macOS,0.92,80452.8,0,1,226.41554716935852,Intel Core i5,0,512,0,0
HP,Notebook,8,256 SSD,Intel HD Graphics 620,Windows 10,1.63,45820.8,0,0,157.3505121487356,Intel Core i5,0,256,0,0
Lenovo,Notebook,4,128 SSD,AMD R4 Graphics,Windows 10,2.2,21258.72,0,0,141.21199808219862,AMD Processor,0,128,0,0
Acer,Notebook,4,1000 HDD,AMD Radeon R5,Windows 10,2.1,21045.6,0,0,100.45466986113651,AMD Processor,1000,0,0,0
Dell,Gaming,16,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,71874.72,0,1,141.21199808219862,Intel Core i7,1000,128,0,0
HP,Ultrabook,8,256 SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83,37242.72,0,1,141.21199808219862,Intel Core i7,0,256,0,0
HP,Notebook,8,256 SSD,Intel HD Graphics 620,Windows 10,1.96,31914.1872,0,0,141.21199808219862,Intel Core i5,0,256,0,0
Asus,Gaming,16,128 SSD +  1000 HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,77202.72,0,1,141.21199808219862,Intel Core i7,1000,128,0,0
Dell,Ultrabook,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.21,87858.72,0,1,165.6321180513006,Intel Core i7,0,256,0,0
Asus,Gaming,8,1000 HDD,AMD Radeon RX 560,Windows 10,2.45,37242.72,0,0,141.21199808219862,AMD Processor,1000,0,0,0
Acer,Notebook,2,1000 HDD,Nvidia GeForce MX150,Windows 10,2.2,36709.92,0,0,141.21199808219862,Intel Core i7,1000,0,0,0
HP,Notebook,16,512 SSD,Intel UHD Graphics 620,Windows 10,1.49,63776.16,0,0,165.6321180513006,Intel Core i7,0,512,0,0
Dell,Gaming,8,256 SSD,Nvidia GeForce GTX 1060,Windows 10,2.65,63669.6,0,0,141.21199808219862,Intel Core i5,0,256,0,0
Asus,Ultrabook,8,256 SSD,Intel HD Graphics 620,Windows 10,1.25,55890.72,0,0,157.3505121487356,Intel Core i7,0,256,0,0
Acer,2 in 1 Convertible,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.5,45128.16,1,1,165.6321180513006,Intel Core i5,0,256,0,0
Dell,Notebook,8,1000 HDD,AMD Radeon R5 M430,Linux,2.2,31962.672,0,0,141.21199808219862,Intel Core i7,1000,0,0,0
Dell,Notebook,4,256 SSD,AMD Radeon R5 M430,Linux,2.2,25840.8,0,0,141.21199808219862,Intel Core i3,0,256,0,0
Asus,Notebook,6,256 SSD,Nvidia GeForce 920M,Windows 10,2.0,30742.56,0,0,141.21199808219862,Intel Core i3,0,256,0,0
HP,Gaming,12,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.62,66546.72,0,1,141.21199808219862,Intel Core i7,1000,128,0,0
HP,Notebook,8,256 SSD,AMD Radeon 530,Windows 10,1.91,38308.32,0,0,141.21199808219862,Intel Core i7,0,256,0,0
HP,Notebook,4,500 HDD,AMD Radeon R2,Windows 10,2.1,18594.72,0,0,141.21199808219862,AMD Processor,500,0,0,0
Dell,Notebook,8,1000 HDD,AMD Radeon 520,Linux,2.2,34472.16,0,0,141.21199808219862,Intel Core i5,1000,0,0,0
HP,Ultrabook,8,256 SSD,Nvidia GeForce MX150,Windows 10,1.38,59620.32,0,1,165.6321180513006,Intel Core i7,0,256,0,0
Microsoft,Ultrabook,8,256 SSD,Intel HD Graphics 620,Windows 10 S,1.252,71395.2,1,0,200.84255993695703,Intel Core i5,0,256,0,0
HP,Notebook,6,256 SSD,Nvidia GeForce 940MX,Windows 10,1.58,35111.52,0,1,157.3505121487356,Intel Core i5,0,256,0,0
Lenovo,Notebook,4,1000 HDD,Intel HD Graphics 520,Windows 10,1.85,22105.872,0,0,141.21199808219862,Intel Core i3,1000,0,0,0
Asus,Ultrabook,8,256 SSD,Nvidia GeForce 940MX,Windows 10,1.3,63563.04,0,1,157.3505121487356,Intel Core i7,0,256,0,0
MSI,Gaming,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,69210.72,0,0,141.21199808219862,Intel Core i7,1000,256,0,0
Lenovo,Notebook,8,256 SSD,Intel HD Graphics 620,Windows 10,1.58,78854.4,0,1,157.3505121487356,Intel Core i7,0,256,0,0
Asus,Ultrabook,16,256 SSD +  1000 HDD,Nvidia GeForce MX150,Windows 10,1.5,67239.36,0,0,141.21199808219862,Intel Core i7,1000,256,0,0
Dell,Ultrabook,8,256 SSD,Intel Iris Plus Graphics 640,Windows 10,1.23,73473.12,1,0,276.053530085501,Intel Core i7,0,256,0,0
Lenovo,2 in 1 Convertible,8,256 SSD,Intel HD Graphics 620,Windows 10,1.37,74538.72,1,1,165.6321180513006,Intel Core i5,0,256,0,0
HP,Notebook,4,500 HDD,Intel UHD Graphics 620,Windows 10,1.63,38468.16,0,1,111.93520355955211,Intel Core i5,500,0,0,0
Dell,Ultrabook,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.21,86793.12,0,1,165.6321180513006,Intel Core i5,0,256,0,0
HP,Notebook,8,512 SSD,Intel UHD Graphics 620,Windows 10,1.63,57755.52,0,0,157.3505121487356,Intel Core i7,0,512,0,0
Dell,Notebook,8,256 SSD +  1000 HDD,Nvidia GeForce 940MX,Windows 10,2.16,60223.9824,0,1,141.21199808219862,Intel Core i7,1000,256,0,0
Asus,Notebook,4,1000 HDD,Nvidia GeForce 920MX,Windows 10,2.0,30049.92,0,0,127.33567457123111,Intel Core i3,1000,0,0,0
Asus,Notebook,8,256 SSD,Nvidia GeForce 940MX,Windows 10,1.7,59567.04,0,0,141.21199808219862,Intel Core i7,0,256,0,0
Acer,Notebook,6,1000 HDD,Intel HD Graphics 620,Windows 10,2.1,25521.12,1,1,141.21199808219862,Intel Core i3,1000,0,0,0
MSI,Gaming,16,256 SSD +  2000 HDD,Nvidia GeForce GTX 1070,Windows 10,1.8,119427.12,0,0,141.21199808219862,Intel Core i7,2000,256,0,0
Lenovo,Notebook,8,256 SSD,Nvidia GeForce 940MX,No OS,2.2,33513.12,0,0,141.21199808219862,Intel Core i5,0,256,0,0
HP,Notebook,16,512 SSD,Nvidia GeForce 930MX ,Windows 10,2.5,67718.88,0,0,127.33567457123111,Intel Core i7,0,512,0,0
Acer,Notebook,4,256 SSD,AMD Radeon R5,Windows 10,2.1,24029.28,0,0,100.45466986113651,AMD Processor,0,256,0,0
HP,Notebook,8,1000 HDD,Intel UHD Graphics 620,Windows 10,1.63,43263.36,0,0,157.3505121487356,Intel Core i5,1000,0,0,0
Asus,Notebook,4,64 SSD,AMD Radeon R2,Windows 10 S,1.65,14811.3072,0,0,111.93520355955211,AMD Processor,0,64,0,0
Dell,Notebook,16,256 SSD +  2000 HDD,AMD Radeon 530,Windows 10,2.8,74378.88,0,0,127.33567457123111,Intel Core i7,2000,256,0,0
HP,Notebook,8,256 SSD,Intel UHD Graphics 620,Windows 10,2.5,49443.84,0,0,127.33567457123111,Intel Core i5,0,256,0,0
Dell,Notebook,8,1000 HDD,AMD Radeon R7 M445,Windows 10,2.36,34045.3872,0,0,100.45466986113651,Intel Core i5,1000,0,0,0
Dell,Notebook,4,1000 HDD,AMD Radeon R5 M430,Windows 10,2.2,23922.72,0,0,141.21199808219862,Intel Core i3,1000,0,0,0
Acer,Ultrabook,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.6,47099.52,0,1,157.3505121487356,Intel Core i7,0,256,0,0
Acer,Notebook,4,256 SSD,Nvidia GeForce MX130,Windows 10,7.2,30476.16,0,0,141.21199808219862,Intel Core i3,0,256,0,0
HP,Notebook,8,1000 HDD,Intel HD Graphics 620,Windows 10,2.05,31861.44,0,0,100.45466986113651,Intel Core i7,1000,0,0,0
HP,Notebook,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.63,52640.64,0,0,157.3505121487356,Intel Core i7,0,256,0,0
Lenovo,Notebook,4,1000 HDD,Intel HD Graphics 500,No OS,1.9,13445.7408,0,0,100.45466986113651,Other Intel Processor,1000,0,0,0
Asus,Gaming,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050,Windows 10,3.0,49976.64,0,0,127.33567457123111,Intel Core i5,1000,128,0,0
Lenovo,Notebook,4,1000 HDD,Nvidia GeForce 920MX,No OS,2.2,26586.72,0,0,141.21199808219862,Intel Core i5,1000,0,0,0
HP,Notebook,4,256 SSD,Intel HD Graphics 620,Windows 10,1.32,37242.72,0,1,165.6321180513006,Intel Core i5,0,256,0,0
Acer,Notebook,4,1000 HDD,Nvidia GeForce MX130,Windows 10,3.0,34898.4,0,1,127.33567457123111,Intel Core i3,1000,0,0,0
Lenovo,Notebook,8,256 SSD,AMD Radeon RX 550,Windows 10,1.75,59461.5456,0,1,157.3505121487356,Intel Core i5,0,256,0,0
Lenovo,Gaming,8,256 SSD,Nvidia GeForce GTX 1050M,No OS,2.4,46300.32,0,1,141.21199808219862,Intel Core i7,0,256,0,0
Toshiba,Notebook,4,500 HDD,Intel HD Graphics 520,Windows 10,2.1,32074.56,0,0,100.45466986113651,Intel Core i5,500,0,0,0
HP,Notebook,4,256 SSD,AMD Radeon R4 Graphics,Windows 10,1.86,19660.32,0,0,100.45466986113651,AMD Processor,0,256,0,0
Asus,Ultrabook,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.25,58554.72,0,0,157.3505121487356,Intel Core i7,0,256,0,0
HP,Ultrabook,8,512 SSD,Intel HD Graphics 515,Windows 10,0.97,107305.92,1,1,352.4651472131677,Other Intel Processor,0,512,0,0
Asus,Notebook,4,1000 HDD,Intel HD Graphics 500,Windows 10,2.0,18328.32,0,0,141.21199808219862,Other Intel Processor,1000,0,0,0
Acer,Notebook,4,1000 HDD,Intel HD Graphics 520,Windows 10,2.1,23816.16,0,0,100.45466986113651,Intel Core i3,1000,0,0,0
Dell,Gaming,16,512 SSD,Nvidia GeForce GTX 1050,Windows 10,2.56,66560.5728,0,0,141.21199808219862,Intel Core i7,0,512,0,0
Dell,Gaming,8,1000 Hybrid,Nvidia GeForce GTX 1050,Windows 10,2.62,47898.72,0,0,141.21199808219862,Intel Core i7,0,0,1000,0
Lenovo,Notebook,4,128 SSD,Intel HD Graphics 620,Windows 10,1.9,26533.44,0,0,100.45466986113651,Intel Core i5,0,128,0,0
MSI,Gaming,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1060,Windows 10,2.8,100699.2,0,0,127.33567457123111,Intel Core i7,1000,256,0,0
HP,Ultrabook,4,256 SSD,Intel HD Graphics 620,Windows 10,1.48,57648.96,0,0,157.3505121487356,Intel Core i5,0,256,0,0
HP,Notebook,6,256 SSD,AMD Radeon 520,Windows 10,1.91,32980.32,0,0,141.21199808219862,Intel Core i5,0,256,0,0
Lenovo,2 in 1 Convertible,4,256 SSD,Intel HD Graphics 620,Windows 10,1.74,33513.12,1,1,157.3505121487356,Intel Core i3,0,256,0,0
Asus,2 in 1 Convertible,8,256 SSD,Intel HD Graphics 620,Windows 10,1.1,70063.2,1,0,165.6321180513006,Intel Core i5,0,256,0,0
Dell,2 in 1 Convertible,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.56,55890.72,1,0,141.21199808219862,Intel Core i7,0,256,0,0
Toshiba,Notebook,4,500 HDD,Intel HD Graphics 520,Windows 10,2.1,23816.16,0,0,100.45466986113651,Intel Core i3,500,0,0,0
Asus,Notebook,4,1000 HDD,AMD Radeon R5 M420,Windows 10,2.03,21471.84,0,0,100.45466986113651,AMD Processor,1000,0,0,0
Acer,Notebook,4,256 SSD,Nvidia GeForce MX150,Windows 10,3.0,42890.4,0,1,127.33567457123111,Intel Core i5,0,256,0,0
Dell,Notebook,8,256 SSD,AMD Radeon 520,Windows 10,2.13,38787.84,0,0,141.21199808219862,Intel Core i5,0,256,0,0
Lenovo,Gaming,16,256 SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,57489.12,0,1,141.21199808219862,Intel Core i7,0,256,0,0
Acer,Notebook,4,1000 HDD,Intel HD Graphics 500,Windows 10,2.1,18541.44,0,0,100.45466986113651,Other Intel Processor,1000,0,0,0
MSI,Gaming,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1060,Windows 10,2.4,95850.72,0,1,141.21199808219862,Intel Core i7,1000,256,0,0
Acer,Notebook,4,1000 HDD,Intel HD Graphics 505,Windows 10,2.1,19367.8128,0,0,100.45466986113651,Other Intel Processor,1000,0,0,0
Dell,Gaming,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.56,56502.9072,0,0,141.21199808219862,Intel Core i7,1000,128,0,0
Acer,Notebook,8,256 SSD,Nvidia GeForce MX150,Windows 10,3.0,45501.12,0,1,127.33567457123111,Intel Core i5,0,256,0,0
HP,Notebook,4,500 HDD,Intel UHD Graphics 620,Windows 10,1.49,40173.12,0,1,165.6321180513006,Intel Core i5,500,0,0,0
Huawei,Ultrabook,8,256 SSD,Intel HD Graphics 620,Windows 10,1.05,71874.72,0,1,199.69207064108247,Intel Core i5,0,256,0,0
HP,Notebook,6,2000 HDD,AMD Radeon 520,Windows 10,2.71,37242.72,0,1,127.33567457123111,Intel Core i5,2000,0,0,0
Lenovo,Notebook,4,500 HDD,AMD Radeon R4 Graphics,No OS,2.2,16463.52,0,0,100.45466986113651,AMD Processor,500,0,0,0
Toshiba,Notebook,4,500 HDD,Intel HD Graphics 620,Windows 10,5.4,26053.92,0,0,100.45466986113651,Intel Core i3,500,0,0,0
HP,Notebook,8,256 SSD,Nvidia GeForce 930MX,Windows 10,2.5,49177.44,0,0,127.33567457123111,Intel Core i5,0,256,0,0
Dell,Notebook,8,1000 HDD,Intel HD Graphics 620,Windows 10,2.3,24455.52,0,0,100.45466986113651,Intel Core i3,1000,0,0,0
Acer,Notebook,4,128 SSD,Intel HD Graphics 520,Windows 10,2.1,23922.72,0,0,100.45466986113651,Intel Core i3,0,128,0,0
MSI,Gaming,32,512 SSD +  1000 HDD,Nvidia GTX 980 SLI,Windows 10,4.4,149130.72,0,0,119.7232157653423,Intel Core i7,1000,512,0,0
Lenovo,Notebook,8,128 SSD +  1000 HDD,AMD R17M-M1-70,Windows 10,1.9,43316.64,0,0,141.21199808219862,Intel Core i5,1000,128,0,0
HP,2 in 1 Convertible,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.29,79866.72,1,1,331.2642361026012,Intel Core i5,0,256,0,0
Dell,Notebook,16,256 SSD +  2000 HDD,AMD Radeon 530,Linux,2.02,55890.72,0,0,141.21199808219862,Intel Core i7,2000,256,0,0
Dell,Ultrabook,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.23,74538.72,0,0,165.6321180513006,Intel Core i5,0,256,0,0
Lenovo,2 in 1 Convertible,16,512 SSD,Intel UHD Graphics 620,Windows 10,1.4,98514.72,1,1,316.96506044349616,Intel Core i7,0,512,0,0
Toshiba,Notebook,8,128 SSD,Intel HD Graphics 620,Windows 10,2.0,42251.04,0,0,100.45466986113651,Intel Core i5,0,128,0,0
Xiaomi,Notebook,8,256 SSD,Nvidia GeForce MX150,No OS,1.95,63882.72,0,1,141.21199808219862,Intel Core i5,0,256,0,0
Dell,Notebook,16,512 SSD,Nvidia GeForce 150MX,Windows 10,2.77,82530.72,1,0,127.33567457123111,Intel Core i7,0,512,0,0
Dell,Notebook,16,512 SSD,Nvidia GeForce GTX 1050,Windows 10,2.06,127712.16,1,0,282.42399616439724,Intel Core i7,0,512,0,0
Lenovo,Gaming,8,256 SSD,Nvidia GeForce GTX 1050,No OS,2.4,41505.12,0,1,141.21199808219862,Intel Core i5,0,256,0,0
Acer,Ultrabook,8,256 SSD,Intel HD Graphics 615,Windows 10,1.12,52693.92,0,1,165.6321180513006,Intel Core i5,0,256,0,0
